tube_fluid,shell_fluid,shell_diameter,tube_outer_diameter,tube_inner_diameter,tube_length,number_of_tubes,tube_pitch,baffle_spacing,number_of_baffles,tube_mass_flow_rate,shell_mass_flow_rate,tube_inlet_temp,tube_outlet_temp,shell_inlet_temp,shell_outlet_temp,tube_thermal_conductivity,heat_transfer_rate,heat_flux
oil,glycol,0.5455638713861792,0.027770800449383445,0.02362377670276903,3.1449062661150586,25,0.03864921925290565,0.18078833408283906,16,0.7708458142274176,2.5983687704459744,440.7816208676734,401.86420068056316,379.36776538503915,389.47003202396115,16.0,4201.60867137151,612.5331757450446
glycol,water,0.5094303374938542,0.0268577644001117,0.020263766369080043,3.3198527574056245,19,0.03464257228089443,0.1776029706710036,17,3.9759989890658094,3.9355346523992556,366.6838746680399,361.2592395565214,290.8261430924012,293.97279001956935,205.0,77445.83559378715,14551.438032610244
steam,steam,0.5633951077325215,0.02583173155574062,0.01999291377606985,2.868206584860438,19,0.034842060292201146,0.2027237691877098,13,0.9824613151298847,0.6114935488734156,454.21543238872454,444.245037061734,385.7735549213298,401.7925754381721,16.0,2891.450244325396,653.8050976720913
glycol,glycol,0.5578356407342879,0.02282879774936304,0.01684427238174138,3.1441973855174554,21,0.03023557592602376,0.2153068353711339,13,2.253106384224445,3.467505932375886,323.5524515726284,308.4577033190329,288.7803347120895,298.58855835228195,385.0,3659.8827324203,772.8677046247781
steam,glycol,0.5739536297052789,0.02514785300095019,0.020456794505897977,3.0114886476148053,20,0.03265596625375002,0.14293405651458108,20,0.09279148135040555,2.144869219338299,475.8685684479883,461.4279062889785,367.5004667704023,368.023680599883,385.0,26912.115876879092,5655.693066104261
oil,oil,0.525112226263679,0.024660204299801914,0.021126190935877,3.4599899855995737,23,0.036204911058748374,0.14777294689248974,22,2.929563713274661,1.5901164497334892,400.39516461255903,379.2800076369802,337.8117512236383,376.7134289505254,16.0,3093.243947941981,501.72408678034674
steam,water,0.5872005406103927,0.024935128391842636,0.020199415385098504,2.9857479496899666,26,0.03498336125413283,0.2554328286588968,10,0.826602634264163,3.27540384708159,500.8902523110735,480.3178932535137,329.79783969709564,332.2943640191773,205.0,138196.71217477857,22725.305945162894
water,oil,0.5039948121997114,0.025112955693495573,0.01945029476328719,3.2611069876715533,19,0.03595050458251402,0.1641728480870303,18,3.837023886474986,2.679044143458239,522.0125827847132,504.9980265092377,339.0204063579528,387.5260473123536,385.0,41310.13687847973,8450.653268377147
steam,water,0.5116942551385929,0.027379907552635804,0.022968463822616324,2.7401137288543644,22,0.03685549718239298,0.21421971366641956,11,0.644243914140699,1.0616934746669069,496.94529546078445,483.990362672514,302.82987943520584,306.6100040449275,385.0,132891.42248386907,25628.537903688062
steam,steam,0.5066097851963537,0.025622365671879484,0.022569503755717844,3.248209862033052,21,0.03491495748487843,0.11867719420687949,26,0.16871001394110766,0.1643282983295063,518.3013355327779,501.9392617283974,446.945676478361,463.7440351767959,205.0,4296.194457383739,782.4407442081208
water,steam,0.5867503740799457,0.027347176996130134,0.020798916199395237,3.2372527959196917,23,0.03930491111647144,0.2191024426984389,13,1.4547305245507953,0.596102270448608,507.6361783264276,497.48939949302235,327.1895855138904,378.6851940130014,385.0,11987.127607828994,1873.9081661071186
glycol,glycol,0.5265725366486824,0.025098794649220182,0.019352786747255827,2.5464350079909104,20,0.035453234576723565,0.17603485000097058,13,0.6232515122381225,0.6848512254199124,380.8799465208377,350.64210692643525,287.16045013270633,314.6785132601687,205.0,8661.553620560466,2156.902274157289
steam,steam,0.5717905570086012,0.02651285209205499,0.02163472035353191,2.5005952654677204,19,0.038449154034930495,0.22195759939554402,10,0.910803393742611,0.9106171679805859,514.3652696074879,495.11149166575206,414.0805254251697,433.3382408607231,205.0,3752.121208205619,948.1423211477957
steam,water,0.5019538582473599,0.0272279413540649,0.022103581513816965,2.7038109201564318,18,0.03934300431967021,0.1284054163175856,20,0.5902919413186306,1.8071584090810506,430.2606015995891,418.27978710110244,343.1189821900239,345.0007964314305,385.0,60027.32147946013,14419.010655976328
steam,steam,0.5343321347489849,0.025607384026512157,0.0205692077728496,3.156407351446253,22,0.034735313025734287,0.17157184566517253,17,0.6363365821236461,0.8024233841714277,485.4404700836946,474.7415435523454,384.77281452617177,393.2572611109142,205.0,6498.523556927113,1163.2789872607925
oil,water,0.5652905783493881,0.025417507325572814,0.018857625922952526,2.9097242869771103,23,0.03296736788722248,0.14345974022239352,19,2.8067116411525883,4.61263168400211,442.3299322191127,429.5917465179831,323.72318033035197,327.6172131447849,16.0,14032.51525412187,2625.8687686268963
water,oil,0.5877506627188797,0.024165212564308973,0.01742650692974753,2.6321205761877273,19,0.03604659145560432,0.1626045125348278,15,3.3884152686092173,0.8562074642333906,410.06714064410494,402.1969627282189,323.50100177048677,385.49635770650497,205.0,11334.309907345249,2985.3496893152364
steam,water,0.5171135692400505,0.02283756771283576,0.018714026761366513,3.354512825562209,23,0.03419630970013368,0.10955171437085771,29,0.2562769905105024,0.7925631949361728,492.91138212949943,482.9432843090186,349.5245144861498,351.0744291299412,205.0,101671.31917281059,18367.13614069384
steam,glycol,0.5247768402937396,0.025354658283741106,0.018761921162946185,3.0585293734379033,21,0.03380411072037676,0.10865446437303043,27,0.8727091619872372,1.4762331359736767,485.3429914576229,478.8426495926534,308.30573259984874,311.52409984267797,16.0,105202.62689279081,20563.024801411833
steam,glycol,0.5456742150793908,0.02686195081221905,0.02347979036955875,2.6603719166244444,20,0.0385057592831688,0.17289551182332588,14,0.3471257371747939,2.028207069846476,517.2385322995575,499.2442042962139,381.55473030947593,384.1339894074578,16.0,41731.81140795958,9294.102622425973
steam,oil,0.5685602799896783,0.024717977691500463,0.02059138011948523,3.059807287065916,23,0.03698683537877086,0.2345777781916791,12,0.5069158501462492,2.8855754018347546,549.083177591469,530.1313617410873,518.7499507223708,521.9365762742833,385.0,4461.038594297341,816.3027532069499
steam,glycol,0.599029456941458,0.022179757235169822,0.015977997739796614,3.018783862023627,18,0.03015879378248988,0.1636056335270522,17,0.1741254739431141,3.967422809095914,407.22061730295167,389.04174958282323,307.42272020672783,308.0909186675378,205.0,29723.86016418994,7850.44045240961
oil,water,0.5723037073189065,0.027159911552398077,0.020781925697707166,3.4065500782222062,26,0.036021330620152996,0.175819589425984,18,2.3303759408634854,3.7077596630320446,393.43066027247175,370.2332741236363,353.9139747300003,361.23878664385325,16.0,3810.1232413647485,504.1649778285292
oil,glycol,0.5831938415610688,0.023678150063782523,0.019639707378672138,3.2800807761870043,18,0.03232938494693676,0.22490351980938067,13,0.5728185213553565,3.712946506960426,497.24180303752973,477.457041804892,381.71768586340716,384.38846039428915,205.0,8804.656995649579,2004.738617966003
glycol,oil,0.5351592824583337,0.02366547496013828,0.02051909850954704,3.3160659477518495,24,0.035435852230661515,0.1807910536493903,17,3.486668305181904,0.7216516448736697,459.0835948380438,449.576906178519,281.5114412861602,334.0047860767164,16.0,21157.104920906524,3575.664324101554
water,steam,0.5504808216839491,0.027905352576299697,0.023725275318561723,3.319180845754856,24,0.040032473325258555,0.19183034149694395,16,3.361609403334976,0.9809898114010033,405.40485927289495,396.97129016725944,308.4330263149008,368.53301432950315,385.0,5389.835178482993,771.7843014911034
